姓名,性別,出生年次,選舉類型,區域,推薦政黨,得票數,得票率,當選註記,是否現任
-,-,-,"2009-98年縣市議員選舉 > 區域",花蓮縣第03選區,中國國民黨,3412,7.26%,*,是
游美雲,女,1960,"2002-91年縣市議員選舉 > 區域",花蓮縣第三選區,民主進步黨,2594,6.35%,*,否
-,-,-,"2005-94年縣市議員選舉 > 區域",花蓮縣第三選區,民主進步黨,2880,6.08%,*,是
-,-,-,"2009-98年縣市議員選舉 > 區域",花蓮縣第03選區,民主進步黨,2747,5.85%,!,是
劉德貞,女,1963,"2002-91年縣市議員選舉 > 區域",花蓮縣第四選區,中國國民黨,2634,13.88%,*,否
-,-,-,2005-94年鄉鎮市長選舉,花蓮縣玉里鎮,中國國民黨,5038,39.65%,*,否
-,-,-,2009-98年鄉鎮市長選舉,花蓮縣玉里鎮,中國國民黨,8362,100.00%,*,是
徐秀枝,女,1958,"2002-91年縣市議員選舉 > 區域",花蓮縣第四選區,親民黨,1559,8.21%,,否
-,-,-,2010-99年鄉鎮市民代表選舉,花蓮縣富里鄉第01選舉區,無,530,23.29%,*,是
劉陳昭玲,女,1956,"2002-91年縣市議員選舉 > 區域",澎湖縣第一選區,中國國民黨,1947,7.21%,*,否
-,-,-,"2005-94年縣市議員選舉 > 區域",澎湖縣第一選區,中國國民黨,1767,6.00%,*,是
-,-,-,"2009-98年縣市議員選舉 > 區域",澎湖縣第01選區,中國國民黨,2414,8.52%,*,是
呂平清,男,1958,"2002-91年縣市議員選舉 > 區域",澎湖縣第一選區,民主進步黨,1256,4.65%,,否
-,-,-,2010-99年鄉鎮市民代表選舉,澎湖縣湖西鄉第03選舉區,無,556,17.61%,*,是
高植澎,男,1954,"2002-91年縣市議員選舉 > 區域",澎湖縣第一選區,民主進步黨,1473,5.45%,*,否
-,-,-,"2004-第 06 屆 立法委員選舉 > 區域",澎湖縣選舉區,民主進步黨,14933,39.47%,,否
蘇文佐,男,1955,"2002-91年縣市議員選舉 > 區域",澎湖縣第一選區,無,1565,5.79%,*,否
-,-,-,"2005-94年縣市議員選舉 > 區域",澎湖縣第一選區,無,1650,5.60%,*,是
-,-,-,"2009-98年縣市議員選舉 > 區域",澎湖縣第01選區,無黨籍及未經政黨推薦,2444,8.62%,*,是
歐陽洲,男,1972,"2002-91年縣市議員選舉 > 區域",澎湖縣第二選區,無,1340,19.88%,*,否
-,-,-,"2005-94年縣市議員選舉 > 區域",澎湖縣第二選區,無,1680,24.16%,*,是
-,-,-,"2009-98年縣市議員選舉 > 區域",澎湖縣第02選區,無黨籍及未經政黨推薦,1898,30.80%,*,是
陳進兩,男,1953,"2002-91年縣市議員選舉 > 區域",澎湖縣第二選區,無,1310,19.43%,,否
-,-,-,"2005-94年縣市議員選舉 > 區域",澎湖縣第二選區,無,2346,33.73%,*,否
-,-,-,"2009-98年縣市議員選舉 > 區域",澎湖縣第02選區,無黨籍及未經政黨推薦,1871,30.36%,,是
李添進,男,1966,"2002-91年縣市議員選舉 > 區域",澎湖縣第四選區,無,1115,24.45%,*,否
-,-,-,"2005-94年縣市議員選舉 > 區域",澎湖縣第四選區,無,1713,38.46%,*,是
-,-,-,"2009-98年縣市議員選舉 > 區域",澎湖縣第04選區,無黨籍及未經政黨推薦,1589,50.52%,*,是
許月里,女,1953,"2002-91年縣市議員選舉 > 區域",澎湖縣第四選區,無,1111,24.36%,*,否
-,-,-,"2005-94年縣市議員選舉 > 區域",澎湖縣第四選區,無,1690,37.94%,*,是
-,-,-,"2009-98年縣市議員選舉 > 區域",澎湖縣第04選區,無黨籍及未經政黨推薦,1556,49.47%,*,是
呂美玲,女,1964,"2002-91年縣市議員選舉 > 區域",基隆市第一選區,親民黨,2013,9.55%,*,否
-,-,-,"2004-第 06 屆 立法委員選舉 > 區域",基隆市選舉區,無,6257,4.15%,,否
-,-,-,"2005-94年縣市議員選舉 > 區域",基隆市第一選區,中國國民黨,3042,11.39%,*,是
-,-,-,"2009-98年縣市議員選舉 > 區域",基隆市第01選區,中國國民黨,2522,11.95%,*,是
林達欽,男,1954,"2002-91年縣市議員選舉 > 區域",基隆市第一選區,無,591,2.80%,,否
-,-,-,"2005-94年縣市議員選舉 > 區域",基隆市第一選區,親民黨,1045,3.91%,,否
-,-,-,2010-99年村里長選舉,基隆市中正區新豐里,中國國民黨,499,100.00%,*,是
何淑萍,女,1971,"2002-91年縣市議員選舉 > 區域",基隆市第二選區,中國國民黨,1711,10.20%,*,否
-,-,-,"2005-94年縣市議員選舉 > 區域",基隆市第二選區,中國國民黨,1394,5.92%,*,是
-,-,-,"2009-98年縣市議員選舉 > 區域",基隆市第02選區,中國國民黨,693,3.37%,!,是
游祥耀,男,1952,"2002-91年縣市議員選舉 > 區域",基隆市第三選區,民主進步黨,2539,14.85%,*,是
-,-,-,"2005-94年縣市議員選舉 > 區域",基隆市第三選區,民主進步黨,3368,14.21%,*,是
-,-,-,"2008-第 07 屆 立法委員選舉 > 區域",基隆市第01選區,民主進步黨,41709,28.58%,,否
-,-,-,"2009-98年縣市議員選舉 > 區域",基隆市第03選區,民主進步黨,4783,25.30%,*,是
林高錦,女,1962,"2002-91年縣市議員選舉 > 區域",基隆市第四選區,無,2129,11.33%,,否
-,-,-,"2005-94年縣市議員選舉 > 區域",基隆市第四選區,無,2753,10.78%,,否
楊石城,男,1962,"2002-91年縣市議員選舉 > 區域",基隆市第四選區,親民黨,1970,10.49%,,否
-,-,-,"2005-94年縣市議員選舉 > 區域",基隆市第四選區,親民黨,3071,12.02%,*,否
-,-,-,"2009-98年縣市議員選舉 > 區域",基隆市第04選區,中國國民黨,5402,24.19%,*,是
宋瑋莉,女,1957,"2002-91年縣市議員選舉 > 區域",基隆市第四選區,中國國民黨,2402,12.78%,*,否
-,-,-,"2005-94年縣市議員選舉 > 區域",基隆市第四選區,中國國民黨,4356,17.05%,*,是
-,-,-,"2009-98年縣市議員選舉 > 區域",基隆市第04選區,中國國民黨,1234,5.52%,!,是
莊錦田,男,1953,"2002-91年縣市議員選舉 > 區域",基隆市第五選區,親民黨,1861,7.36%,*,否
-,-,-,"2005-94年縣市議員選舉 > 區域",基隆市第五選區,親民黨,2648,6.81%,*,是
-,-,-,"2009-98年縣市議員選舉 > 區域",基隆市第05選區,親民黨,3099,9.07%,*,是
俞叁發,男,1965,"2002-91年縣市議員選舉 > 區域",基隆市第五選區,無,1815,7.18%,,否
-,-,-,"2005-94年縣市議員選舉 > 區域",基隆市第五選區,中國國民黨,3616,9.30%,*,否
-,-,-,"2009-98年縣市議員選舉 > 區域",基隆市第05選區,中國國民黨,2690,7.87%,-,是
林弘和,男,1944,"2002-91年縣市議員選舉 > 區域",基隆市第五選區,中國國民黨,1843,7.29%,,否
-,-,-,"2005-94年縣市議員選舉 > 區域",基隆市第五選區,中國國民黨,2750,7.07%,*,否
-,-,-,"2009-98年縣市議員選舉 > 區域",基隆市第05選區,中國國民黨,2603,7.61%,,是
李振銘,男,1968,"2002-91年縣市議員選舉 > 區域",基隆市第五選區,無,1341,5.30%,,否
-,-,-,"2005-94年縣市議員選舉 > 區域",基隆市第五選區,無,1237,3.18%,,否
-,-,-,"2009-98年縣市議員選舉 > 區域",基隆市第05選區,中國國民黨,1193,3.49%,,否
-,-,-,2010-99年村里長選舉,基隆市安樂區定邦里,中國國民黨,419,100.00%,*,是
陳金樹,男,1956,"2002-91年縣市議員選舉 > 區域",基隆市第七選區,中國國民黨,2142,10.96%,*,否
-,-,-,"2005-94年縣市議員選舉 > 區域",基隆市第七選區,中國國民黨,3599,14.00%,*,是
-,-,-,"2009-98年縣市議員選舉 > 區域",基隆市第07選區,中國國民黨,3108,14.72%,-,是
蘇財發,男,1949,"2002-91年縣市議員選舉 > 區域",基隆市第七選區,中國國民黨,1772,9.07%,,否
-,-,-,"2005-94年縣市議員選舉 > 區域",基隆市第七選區,無,2779,10.81%,,否
-,-,-,"2009-98年縣市議員選舉 > 區域",基隆市第07選區,中國國民黨,3840,18.19%,*,否
張耿輝,男,1961,"2002-91年縣市議員選舉 > 區域",基隆市第七選區,中國國民黨,2164,11.07%,*,否
-,-,-,"2005-94年縣市議員選舉 > 區域",基隆市第七選區,中國國民黨,5094,19.82%,*,是
-,-,-,"2009-98年縣市議員選舉 > 區域",基隆市第07選區,中國國民黨,4533,21.47%,*,是
-,-,-,"2012-第 08 屆 立法委員選舉 > 區域",基隆市第01選區,無黨籍及未經政黨推薦,12332,5.86%,,否
蔡文德,男,1960,"2002-91年縣市議員選舉 > 區域",基隆市第七選區,民主進步黨,1331,6.81%,,否
-,-,-,"2005-94年縣市議員選舉 > 區域",基隆市第七選區,民主進步黨,2503,9.74%,,否
龔勇讚,男,1968,"2002-91年縣市議員選舉 > 區域",基隆市第七選區,親民黨,1507,7.71%,,否
-,-,-,2010-99年村里長選舉,基隆市七堵區百福里,無,636,33.96%,,否
高辜惠珍,女,1958,"2002-91年縣市議員選舉 > 區域",基隆市第七選區,無,1159,5.93%,*,否
-,-,-,"2005-94年縣市議員選舉 > 區域",基隆市第七選區,中國國民黨,2700,10.50%,*,是
-,-,-,"2009-98年縣市議員選舉 > 區域",基隆市第07選區,中國國民黨,1214,5.75%,!,是
鄭正鈐,男,1969,"2002-91年縣市議員選舉 > 區域",新竹市第一選區,中國國民黨,1715,4.92%,*,否
-,-,-,"2004-第 06 屆 立法委員選舉 > 區域",新竹市選舉區,無,4364,2.97%,,否
-,-,-,"2005-94年縣市議員選舉 > 區域",新竹市第一選區,無,3312,6.30%,*,是
-,-,-,"2009-98年縣市議員選舉 > 區域",新竹市第01選區,中國國民黨,3540,6.65%,*,是
陳良源,男,1955,"2002-91年縣市議員選舉 > 區域",新竹市第一選區,無,346,0.99%,,否
-,-,-,2010-99年村里長選舉,新竹市東區成功里,無,148,43.27%,,否
楊玉斌,男,1959,"2002-91年縣市議員選舉 > 區域",新竹市第一選區,無,2406,6.90%,*,否
-,-,-,"2005-94年縣市議員選舉 > 區域",新竹市第一選區,無,2076,3.95%,,否
-,-,-,"2009-98年縣市議員選舉 > 區域",新竹市第01選區,無黨籍及未經政黨推薦,2333,4.38%,,否
黃元,男,1952,"2002-91年縣市議員選舉 > 區域",新竹市第一選區,無,605,1.74%,,否
-,-,-,"2005-94年縣市議員選舉 > 區域",新竹市第一選區,無,1341,2.55%,,否
-,-,-,2010-99年村里長選舉,新竹市東區三民里,無,76,4.74%,,否
段孝芳,女,1960,"2002-91年縣市議員選舉 > 區域",新竹市第一選區,中國國民黨,1539,4.41%,,否
-,-,-,"2005-94年縣市議員選舉 > 區域",新竹市第一選區,中國國民黨,3955,7.52%,*,否
-,-,-,"2009-98年縣市議員選舉 > 區域",新竹市第01選區,中國國民黨,2859,5.37%,*,是
許文棟,男,1955,"2002-91年縣市議員選舉 > 區域",新竹市第二選區,無,2773,18.25%,*,否
-,-,-,"2005-94年縣市議員選舉 > 區域",新竹市第二選區,無,4484,22.11%,*,是
-,-,-,"2009-98年縣市議員選舉 > 區域",新竹市第02選區,無黨籍及未經政黨推薦,3597,17.53%,*,是
魏秀珍,女,1940,"2002-91年縣市議員選舉 > 區域",新竹市第二選區,民主進步黨,1355,8.92%,*,否
-,-,-,"2005-94年縣市議員選舉 > 區域",新竹市第二選區,民主進步黨,3156,15.56%,*,是
-,-,-,"2009-98年縣市議員選舉 > 區域",新竹市第02選區,民主進步黨,4675,22.79%,*,是
曾蘭香,女,1940,"2002-91年縣市議員選舉 > 區域",新竹市第二選區,無,478,3.15%,,否
-,-,-,"2005-94年縣市議員選舉 > 區域",新竹市第二選區,中國國民黨,2030,10.01%,,否
-,-,-,"2009-98年縣市議員選舉 > 區域",新竹市第02選區,無黨籍及未經政黨推薦,747,3.64%,,否
孫鍚洲,男,1956,"2002-91年縣市議員選舉 > 區域",新竹市第四選區,無,2725,8.24%,*,否
-,-,-,"2005-94年縣市議員選舉 > 區域",新竹市第四選區,無,3427,7.43%,*,是
-,-,-,"2009-98年縣市議員選舉 > 區域",新竹市第04選區,中國國民黨,3736,7.74%,*,是
邵清福,男,1955,"2002-91年縣市議員選舉 > 區域",新竹市第四選區,中國國民黨,627,1.90%,,否
-,-,-,2010-99年村里長選舉,新竹市北區磐石里,無,759,48.28%,,否
許明霞,女,1946,"2002-91年縣市議員選舉 > 區域",新竹市第四選區,中國國民黨,953,2.88%,,否
-,-,-,2010-99年村里長選舉,新竹市北區水田里,無,496,52.10%,*,否
李妍慧,女,1976,"2002-91年縣市議員選舉 > 區域",新竹市第四選區,台灣團結聯盟,1469,4.44%,*,否
-,-,-,"2005-94年縣市議員選舉 > 區域",新竹市第四選區,台灣團結聯盟,3484,7.55%,*,是
-,-,-,"2009-98年縣市議員選舉 > 區域",新竹市第04選區,無黨籍及未經政黨推薦,3642,7.55%,*,是
吳青山,男,1956,"2002-91年縣市議員選舉 > 區域",新竹市第四選區,中國國民黨,1632,4.94%,,否
-,-,-,"2005-94年縣市議員選舉 > 區域",新竹市第四選區,中國國民黨,4350,9.43%,*,否
-,-,-,"2009-98年縣市議員選舉 > 區域",新竹市第04選區,中國國民黨,4845,10.04%,*,是
戴炎烘,男,1960,"2002-91年縣市議員選舉 > 區域",新竹市第四選區,無,947,2.86%,,否
-,-,-,"2005-94年縣市議員選舉 > 區域",新竹市第四選區,無,1525,3.31%,,否
塗夢龍,男,1964,"2002-91年縣市議員選舉 > 區域",新竹市第四選區,無,521,1.58%,,否
-,-,-,2010-99年村里長選舉,新竹市北區金竹里,無,448,36.72%,,否
蔡錕鈺,男,1968,"2002-91年縣市議員選舉 > 區域",新竹市第四選區,無,2215,6.70%,*,否
-,-,-,"2005-94年縣市議員選舉 > 區域",新竹市第四選區,無,2938,6.37%,*,是
-,-,-,"2009-98年縣市議員選舉 > 區域",新竹市第04選區,無黨籍及未經政黨推薦,4494,9.32%,*,是
楊長翰,男,1964,"2002-91年縣市議員選舉 > 區域",新竹市第四選區,無,332,1.00%,,否
-,-,-,2010-99年村里長選舉,新竹市北區大同里,中國國民黨,189,58.15%,*,是
彭憲忠,男,1968,"2002-91年縣市議員選舉 > 區域",新竹市第四選區,無,670,2.03%,,否
-,-,-,"2005-94年縣市議員選舉 > 區域",新竹市第四選區,中國國民黨,3584,7.77%,*,否
-,-,-,"2009-98年縣市議員選舉 > 區域",新竹市第04選區,中國國民黨,2541,5.26%,,是
溫明地,男,1964,"2002-91年縣市議員選舉 > 區域",新竹市第四選區,無,1861,5.63%,*,否
-,-,-,"2005-94年縣市議員選舉 > 區域",新竹市第四選區,無,3334,7.23%,*,是
吳國寶,男,1970,"2002-91年縣市議員選舉 > 區域",新竹市第五選區,台灣團結聯盟,841,3.55%,,否
-,-,-,"2005-94年縣市議員選舉 > 區域",新竹市第五選區,台灣團結聯盟,3342,11.64%,*,否
-,-,-,"2009-98年縣市議員選舉 > 區域",新竹市第05選區,無黨籍及未經政黨推薦,4477,14.28%,*,否
林梅華,女,1966,"2002-91年縣市議員選舉 > 區域",新竹市第五選區,無,2604,11.00%,*,否
-,-,-,"2005-94年縣市議員選舉 > 區域",新竹市第五選區,無,2609,9.08%,,是
-,-,-,"2009-98年縣市議員選舉 > 區域",新竹市第05選區,無黨籍及未經政黨推薦,2897,9.24%,*,是
黃英傑,男,1965,"2002-91年縣市議員選舉 > 區域",臺中市第一選區,民主進步黨,3267,8.48%,,否
-,-,-,"2005-94年縣市議員選舉 > 區域",臺中市第一選區,民主進步黨,7793,13.00%,*,否
賴裕雄,男,1956,"2002-91年縣市議員選舉 > 區域",臺中市第二選區,中國國民黨,3076,8.25%,*,否
-,-,-,"2005-94年縣市議員選舉 > 區域",臺中市第二選區,中國國民黨,3934,6.21%,,是
梁成,男,1947,"2002-91年縣市議員選舉 > 區域",臺中市第二選區,親民黨,3115,8.36%,*,否
-,-,-,"2005-94年縣市議員選舉 > 區域",臺中市第二選區,親民黨,3549,5.60%,,是
-,-,-,2010-99年直轄市里長選舉,臺中市北區樂英里,中國國民黨,1126,56.41%,*,否
劉國隆,男,1959,"2002-91年縣市議員選舉 > 區域",臺中市第二選區,台灣團結聯盟,2137,5.73%,,否
-,-,-,"2005-94年縣市議員選舉 > 區域",臺中市第二選區,台灣團結聯盟,6018,9.50%,*,否
-,-,-,"2010-99年直轄市議員選舉 > 區域",臺中市第09選區,台灣團結聯盟,11627,15.55%,,否
林黃玉美,女,1946,"2002-91年縣市議員選舉 > 區域",臺中市第三選區,中國國民黨,3569,7.10%,*,否
-,-,-,"2005-94年縣市議員選舉 > 區域",臺中市第三選區,中國國民黨,5287,6.61%,,是
鄭功進,男,1961,"2002-91年縣市議員選舉 > 區域",臺中市第三選區,民主進步黨,3378,6.72%,*,否
-,-,-,"2005-94年縣市議員選舉 > 區域",臺中市第三選區,民主進步黨,6872,8.59%,*,是
-,-,-,"2010-99年直轄市議員選舉 > 區域",臺中市第11選區,民主進步黨,11688,11.88%,,否
賴頤年,男,1947,"2002-91年縣市議員選舉 > 區域",臺中市第三選區,無,4658,9.27%,*,否
-,-,-,"2005-94年縣市議員選舉 > 區域",臺中市第三選區,中國國民黨,8300,10.38%,*,是
-,-,-,"2010-99年直轄市議員選舉 > 區域",臺中市第11選區,中國國民黨,12264,12.47%,,否
吳春夏,男,1954,"2002-91年縣市議員選舉 > 區域",臺中市第四選區,親民黨,2367,5.27%,,否
-,-,-,"2005-94年縣市議員選舉 > 區域",臺中市第四選區,親民黨,5526,6.95%,*,否
-,-,-,"2010-99年直轄市議員選舉 > 區域",臺中市第06選區,無黨籍及未經政黨推薦,8799,8.66%,,否
張廖乃綸,女,1978,"2002-91年縣市議員選舉 > 區域",臺中市第四選區,中國國民黨,3939,8.77%,*,否
-,-,-,"2005-94年縣市議員選舉 > 區域",臺中市第四選區,中國國民黨,8467,10.65%,*,是
-,-,-,"2010-99年直轄市議員選舉 > 區域",臺中市第06選區,中國國民黨,11151,10.98%,*,否
陳淑華,女,1970,"2002-91年縣市議員選舉 > 區域",臺中市第四選區,民主進步黨,3010,6.70%,*,否
-,-,-,"2005-94年縣市議員選舉 > 區域",臺中市第四選區,民主進步黨,8463,10.64%,*,是
-,-,-,"2010-99年直轄市議員選舉 > 區域",臺中市第06選區,民主進步黨,19359,19.06%,*,否
賴森崑,男,1954,"2002-91年縣市議員選舉 > 區域",臺中市第五選區,無,1392,4.11%,,否
-,-,-,2010-99年直轄市里長選舉,臺中市南屯區大同里,中國國民黨,780,27.59%,,否
張耀中,男,1961,"2002-91年縣市議員選舉 > 區域",臺中市第五選區,民主進步黨,2737,8.09%,,否
-,-,-,"2005-94年縣市議員選舉 > 區域",臺中市第五選區,民主進步黨,6566,11.34%,*,否
-,-,-,"2010-99年直轄市議員選舉 > 區域",臺中市第07選區,民主進步黨,12902,17.27%,*,否
王岳彬,男,1960,"2002-91年縣市議員選舉 > 區域",臺中市第六選區,民主進步黨,2456,3.71%,,否
-,-,-,"2005-94年縣市議員選舉 > 區域",臺中市第六選區,民主進步黨,5640,5.53%,*,否
-,-,-,"2010-99年直轄市議員選舉 > 區域",臺中市第08選區,民主進步黨,13971,11.17%,*,否
曾朝榮,男,1961,"2002-91年縣市議員選舉 > 區域",臺中市第六選區,民主進步黨,6029,9.11%,*,否
-,-,-,"2005-94年縣市議員選舉 > 區域",臺中市第六選區,民主進步黨,8315,8.16%,*,是
-,-,-,"2010-99年直轄市議員選舉 > 區域",臺中市第08選區,民主進步黨,19961,15.96%,*,否
林晏賢,男,1951,"2002-91年縣市議員選舉 > 區域",臺中市第六選區,無,61,0.09%,,否
-,-,-,"2005-94年縣市議員選舉 > 區域",臺中市第六選區,無,83,0.08%,,否
沈佑蓮,女,1959,"2002-91年縣市議員選舉 > 區域",臺中市第六選區,親民黨,5116,7.73%,*,否
-,-,-,"2005-94年縣市議員選舉 > 區域",臺中市第六選區,親民黨,6115,6.00%,*,是
-,-,-,"2010-99年直轄市議員選舉 > 區域",臺中市第08選區,中國國民黨,19906,15.91%,*,否
蔡雅玲,女,1977,"2002-91年縣市議員選舉 > 區域",臺中市第六選區,民主進步黨,3703,5.59%,*,否
-,-,-,"2005-94年縣市議員選舉 > 區域",臺中市第六選區,民主進步黨,6750,6.62%,*,是
-,-,-,"2010-99年直轄市議員選舉 > 區域",臺中市第08選區,民主進步黨,12760,10.20%,*,否
蔡永泉,男,1952,"2002-91年縣市議員選舉 > 區域",嘉義市第一選區,台灣團結聯盟,1182,2.19%,,否
-,-,-,"2005-94年縣市議員選舉 > 區域",嘉義市第一選區,台灣團結聯盟,4331,6.75%,*,否
-,-,-,"2009-98年縣市議員選舉 > 區域",嘉義市第01選區,台灣團結聯盟,3734,6.00%,*,是
郭清桂,男,1948,"2002-91年縣市議員選舉 > 區域",嘉義市第一選區,無,615,1.14%,,否
-,-,-,"2005-94年縣市議員選舉 > 區域",嘉義市第二選區,無,522,0.73%,,否
邱芳欽,男,1955,"2002-91年縣市議員選舉 > 區域",嘉義市第一選區,無,3841,7.12%,*,否
-,-,-,"2005-94年縣市議員選舉 > 區域",嘉義市第一選區,無,3420,5.33%,*,是
-,-,-,"2009-98年縣市議員選舉 > 區域",嘉義市第01選區,無黨籍及未經政黨推薦,4488,7.22%,*,是
張孟崇,男,1960,"2002-91年縣市議員選舉 > 區域",嘉義市第一選區,民主進步黨,845,1.57%,,否
-,-,-,"2004-第 06 屆 立法委員選舉 > 區域",嘉義市選舉區,無黨團結聯盟,495,0.48%,,否
黃秋澤,男,1958,"2002-91年縣市議員選舉 > 區域",嘉義市第一選區,無,3412,6.32%,*,否
-,-,-,"2005-94年縣市議員選舉 > 區域",嘉義市第一選區,無,3889,6.06%,*,是
-,-,-,"2009-98年縣市議員選舉 > 區域",嘉義市第01選區,無黨籍及未經政黨推薦,4348,6.99%,*,是
李允志,男,1951,"2002-91年縣市議員選舉 > 區域",嘉義市第一選區,無,3912,7.25%,*,否
-,-,-,"2005-94年縣市議員選舉 > 區域",嘉義市第一選區,無,3990,6.21%,*,是
陳素分,女,1953,"2002-91年縣市議員選舉 > 區域",嘉義市第一選區,無,1649,3.05%,,否
-,-,-,"2005-94年縣市議員選舉 > 區域",嘉義市第一選區,無,698,1.09%,,否
-,-,-,2010-99年村里長選舉,嘉義市東區中央里,無,179,16.24%,,是
曾麗吟,女,1976,"2002-91年縣市議員選舉 > 區域",嘉義市第一選區,親民黨,2359,4.37%,*,否
-,-,-,"2005-94年縣市議員選舉 > 區域",嘉義市第一選區,無,2925,4.56%,,是
廖天隆,男,1946,"2002-91年縣市議員選舉 > 區域",嘉義市第二選區,無,4078,6.82%,*,否
-,-,-,"2005-94年縣市議員選舉 > 區域",嘉義市第二選區,無,5036,7.09%,*,是
-,-,-,"2009-98年縣市議員選舉 > 區域",嘉義市第02選區,無黨籍及未經政黨推薦,5444,7.63%,*,是
蔡貴絲,女,1956,"2002-91年縣市議員選舉 > 區域",嘉義市第二選區,無,3781,6.33%,*,否
-,-,-,"2005-94年縣市議員選舉 > 區域",嘉義市第二選區,無,5755,8.10%,*,是
-,-,-,"2009-98年縣市議員選舉 > 區域",嘉義市第02選區,中國國民黨,6190,8.68%,*,是
張秀華,女,1957,"2002-91年縣市議員選舉 > 區域",嘉義市第二選區,無,3064,5.13%,*,否
-,-,-,"2005-94年縣市議員選舉 > 區域",嘉義市第二選區,中國國民黨,5696,8.02%,*,是
-,-,-,"2009-98年縣市議員選舉 > 區域",嘉義市第02選區,中國國民黨,4239,5.94%,*,是
林承勳,男,1961,"2002-91年縣市議員選舉 > 區域",嘉義市第二選區,無,3410,5.71%,*,否
-,-,-,"2005-94年縣市議員選舉 > 區域",嘉義市第二選區,無,5342,7.52%,*,是
-,-,-,"2009-98年縣市議員選舉 > 區域",嘉義市第02選區,無黨籍及未經政黨推薦,6691,9.38%,*,是
李廣二,男,1941,"2002-91年縣市議員選舉 > 區域",嘉義市第二選區,無,4215,7.05%,*,否
-,-,-,"2005-94年縣市議員選舉 > 區域",嘉義市第二選區,無,4151,5.84%,,是
黃正一,男,1957,"2002-91年縣市議員選舉 > 區域",嘉義市第二選區,無,1229,2.06%,,否
-,-,-,2010-99年村里長選舉,嘉義市西區湖內里,中國國民黨,1214,74.16%,*,是
陳炎明,男,1956,"2002-91年縣市議員選舉 > 區域",嘉義市第二選區,中國國民黨,236,0.39%,,否
-,-,-,2010-99年村里長選舉,嘉義市西區保生里,中國國民黨,129,7.44%,,否
曾順良,男,1956,"2002-91年縣市議員選舉 > 區域",臺南市第一選區,無,6031,10.51%,*,否
-,-,-,"2005-94年縣市議員選舉 > 區域",臺南市第一選區,無,6594,8.46%,*,是
-,-,-,"2010-99年直轄市議員選舉 > 區域",臺南市第14選區,無黨籍及未經政黨推薦,11677,12.47%,*,否
蕭博仁,男,1964,"2002-91年縣市議員選舉 > 區域",臺南市第一選區,民主進步黨,3808,6.64%,*,否
-,-,-,"2005-94年縣市議員選舉 > 區域",臺南市第一選區,民主進步黨,5876,7.54%,*,是
蔡旺詮,男,1968,"2002-91年縣市議員選舉 > 區域",臺南市第一選區,民主進步黨,1621,2.82%,,否
-,-,-,"2005-94年縣市議員選舉 > 區域",臺南市第一選區,民主進步黨,6569,8.43%,*,否
-,-,-,"2010-99年直轄市議員選舉 > 區域",臺南市第14選區,民主進步黨,10143,10.83%,*,否
李建平,男,1951,"2002-91年縣市議員選舉 > 區域",臺南市第一選區,無,915,1.59%,,否
-,-,-,"2005-94年縣市議員選舉 > 區域",臺南市第一選區,中國國民黨,3454,4.43%,*,否
-,-,-,"2010-99年直轄市議員選舉 > 區域",臺南市第14選區,無黨籍及未經政黨推薦,1469,1.56%,,否
黃秋榮,男,1959,"2002-91年縣市議員選舉 > 區域",臺南市第二選區,無,4734,9.39%,*,否
-,-,-,"2005-94年縣市議員選舉 > 區域",臺南市第二選區,無,4359,7.31%,,是
姜滄源,男,1955,"2002-91年縣市議員選舉 > 區域",臺南市第三選區,中國國民黨,4957,18.09%,*,否
-,-,-,"2005-94年縣市議員選舉 > 區域",臺南市第三選區,中國國民黨,6758,18.95%,*,是
-,-,-,"2010-99年直轄市議員選舉 > 區域",臺南市第12選區,無黨籍及未經政黨推薦,9073,21.60%,,否
洪金龍,男,1950,"2002-91年縣市議員選舉 > 區域",臺南市第四選區,無,1257,2.96%,,否
-,-,-,2010-99年直轄市里長選舉,臺南市南區建南里,中國國民黨,803,25.20%,,否
李宗富,男,1967,"2002-91年縣市議員選舉 > 區域",臺南市第四選區,無,3539,8.34%,*,否
-,-,-,"2005-94年縣市議員選舉 > 區域",臺南市第四選區,無,3312,5.95%,,是
-,-,-,"2010-99年直轄市議員選舉 > 區域",臺南市第11選區,無黨籍及未經政黨推薦,8522,12.21%,*,否
曾文宏,男,1966,"2002-91年縣市議員選舉 > 區域",臺南市第四選區,無,76,0.18%,,否
-,-,-,"2004-第 06 屆 立法委員選舉 > 區域",臺南市選舉區,無,192,0.06%,,否
-,-,-,"2005-94年縣市議員選舉 > 區域",臺南市第四選區,無,70,0.13%,,否
辛建明,男,1944,"2002-91年縣市議員選舉 > 區域",臺南市第四選區,民主進步黨,2000,4.71%,,否
-,-,-,"2005-94年縣市議員選舉 > 區域",臺南市第四選區,民主進步黨,1446,2.60%,,否
李慶信,男,1950,"2002-91年縣市議員選舉 > 區域",臺南市第五選區,中國國民黨,3001,4.45%,,否
-,-,-,"2005-94年縣市議員選舉 > 區域",臺南市第五選區,中國國民黨,6284,8.57%,*,否
郭清華,男,1962,"2002-91年縣市議員選舉 > 區域",臺南市第五選區,無,3134,4.65%,*,否
-,-,-,"2005-94年縣市議員選舉 > 區域",臺南市第五選區,無,4813,6.56%,*,是
-,-,-,"2010-99年直轄市議員選舉 > 區域",臺南市第10選區,民主進步黨,10975,11.32%,*,否
